#name, A, B, C, D, E, F
EPI2709627|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|NS|2.3.4.4b||wild-bird|Connecticut|2022-02-16, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2703942|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|NS|2.3.4.4b||wild-bird|Massachusetts|2022-03-02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/11, 2.8243688570089455e-06, 2.3328180070348757e-07, 5.821648587737381e-08, 6.633761054730733e-05, 0.026596850561121935, 0.9733336959611871
0/10, 2.1671070057902642e-06, 1.85018221058793e-07, 5.259668868606905e-08, 0.0002859683898165624, 0.011421341974333818, 0.9882902849139341
NODE_0000021, 2.7107709010580876e-06, 2.794180742578987e-07, 9.503273681709638e-08, 0.0016985484968923717, 0.006683967841138987, 0.9916143984402566
EPI2181743|A/bald_eagle/Florida/W22-134-OP/2022|H5N1|NS|2.3.4.4b|B1.1|wild-bird|Florida|2022-02-12, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000022, 1.7053089012913665e-05, 2.91332570284261e-06, 1.1910628110665857e-06, 0.0394861551845046, 0.005895391304905396, 0.9545972960330632
EPI2131377|A/Vulpes_vulpes/New_York/099488/2022|H5N1|NS|2.3.4.4b||mammal|New_York|2022-04-04, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
EPI2181687|A/bald_eagle/Virginia/W22-306/2022|H5N1|NS|2.3.4.4b||wild-bird|Virginia|2022-04-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/6, 2.959703637687061e-06, 3.047067056949499e-07, 1.0146665116934896e-07, 0.0019778362336573423, 0.008946500150763433, 0.9890722977385845
0/4, 2.307454667404313e-06, 1.9643055280509744e-07, 5.7711947935086615e-08, 0.0003502072056724324, 0.009055368771561928, 0.9905918624255976
83.3/70, 3.70913725725661e-06, 3.875169911598364e-07, 1.3068143339547194e-07, 0.0023934298047728745, 0.008898178473876622, 0.9887041643856688
82.6/94, 1.9914285734803336e-06, 1.692757652213431e-07, 5.125731516056008e-08, 0.00013050213911504615, 0.0055644496601925395, 0.9943028362390386
EPI2507015|A/eagle/Virginia/W22-101/2023|H5N1|NS|2.3.4.4b|B1.1|wild-bird|Virginia|2023-01-03, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2456467|A/black_vulture/Virginia/W22-662C/2022|H5N1|NS|2.3.4.4b|B1.1|wild-bird|Virginia|2022-08-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/11, 1.8277735850468173e-05, 3.102033722711149e-06, 1.2379274526310888e-06, 0.04289694422011089, 0.007747531624465391, 0.949332906458398
EPI2454980|A/Vulpes_vulpes/USA/088592/2022|H5N1|NS|2.3.4.4b||mammal|USA|2022-04-25, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
0/4, 2.905003007697308e-06, 2.9958010351836716e-07, 1.0182712344893347e-07, 0.003111916831727491, 0.0076305533134343176, 0.9892542234446036
0/5, 1.8656899271963774e-06, 1.580818520257908e-07, 4.740800025314907e-08, 0.00016953839086560827, 0.006367142697862156, 0.9934612477314927
EPI2456405|A/black_vulture/South_Carolina/W22-689B/2022|H5N1|NS|2.3.4.4b||wild-bird|South_Carolina|2022-08-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/7, 2.2791030521089792e-06, 1.8752015525951772e-07, 5.442406768868863e-08, 6.642531674301965e-05, 0.007903288132334572, 0.9920277655036474
EPI2709025|A/Bald_Eagle/South_Carolina/USDA-009803-001/2022|H5N1|NS|2.3.4.4b||wild-bird|South_Carolina|2022-03-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
0/19, 5.008303108475075e-06, 4.3879495045563023e-07, 1.2729598827023796e-07, 0.0001241521729872644, 0.011706908019183076, 0.9881633654137825
EPI2506872|A/black_vulture/South_Carolina/W22-1080A/2022|H5N1|NS|2.3.4.4b|B1.1|wild-bird|South_Carolina|2022-11-02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2689433|A/black_vulture/Georgia/CEIRR-569/2022|H5N1|NS|2.3.4.4b||wild-bird|Georgia|2022-08-12, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/6, 2.9525959204675642e-06, 2.755764790673255e-07, 8.961216488198349e-08, 0.002375808639242342, 0.007714763585696984, 0.9899061099904964
EPI2456444|A/black_vulture/South_Carolina/W22-623/2022|H5N1|NS|2.3.4.4b||wild-bird|South_Carolina|2022-08-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/18, 2.3538764218368933e-05, 3.967851716158776e-06, 1.5808153271461758e-06, 0.022286348682340376, 0.011308529407265806, 0.966376034479132
EPI2473746|A/red_fox/Michigan/22-021733-005-original/2022|H5N1|NS|2.3.4.4b||mammal|Michigan|2022-07-06, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
85.2/92, 2.6003886668343366e-06, 2.4219557868666127e-07, 7.937817195818921e-08, 0.0008055020028845049, 0.0058831684668307575, 0.9933084075678673
EPI2497182|A/vulture/Tennessee/W22-1149/2022|H5N1|NS|2.3.4.4b||wild-bird|Tennessee|2022-12-05, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2456421|A/black_vulture/Georgia/W22-619A/2022|H5N1|NS|2.3.4.4b||wild-bird|Georgia|2022-08-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/7, 2.320868128105386e-06, 1.9343360256924174e-07, 5.598558839021578e-08, 0.00010370585882152529, 0.008695214922642107, 0.9911985089312172
EPI2708353|A/Bald_Eagle/Florida/USDA-007915-002/2022|H5N1|NS|2.3.4.4b||wild-bird|Florida|2022-02-28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
0/5, 4.081293863269509e-06, 3.58475166159153e-07, 1.0598793490179889e-07, 0.0006202653853088636, 0.012977194093699771, 0.986397994764027
EPI2704593|A/Ring-necked_Duck/Missouri/USDA-012338-025/2022|H5N1|NS|2.3.4.4b|B1.1|wild-bird|Missouri|2022-03-11, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
83.1/75, 3.222903325240037e-05, 3.984796647743708e-06, 1.2567196543700836e-06, 0.014953934950280749, 0.03403973067636489, 0.9509688638237997
EPI2613600|A/great_horned_owl/New_York/23-005127-001-original/2023|H5N1|NS|2.3.4.4b||wild-bird|New_York|2023-02-10, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
